Make,Model,Year,Mileage,Price,Condition,Dealer,Image Link
Smart,Fortwo,2018,34870,147900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/F3ED11818/Ext360/F3ED1181836000.webp
Hyundai,Grand i10,2020,39000,178900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/042009622/Ext360/04200962236000.webp
Fiat,500,2013,101000,91900,Normal wear and tear,Epping (WC),https://photos.webuycars.co.za/photobooth/187511802/Ext360/18751180236000.webp
Volkswagen,Tiguan,2024,4411,677900,Vehicle is better than average,Mbombela (MP),https://photos.webuycars.co.za/photobooth/241E13227/Ext360/241E1322736000.webp
Chevrolet,Spark,2013,103154,83900,Normal wear and tear,Epping (WC),https://photos.webuycars.co.za/photobooth/24EB08280/Ext360/24EB0828036000.webp
Renault,Kiger,2021,36153,168900,Shows signs of excessive wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/41C309910/Ext360/41C30991036000.webp
Suzuki,Baleno,2023,9365,280900,Vehicle is better than average,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/500E12695/Ext360/500E1269536000.webp
Renault,Kwid,2018,105553,79900,Normal wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/65F811675/Ext360/65F81167536000.webp
Suzuki,Baleno,2024,9105,286900,Vehicle is better than average,JHB South (GP),https://photos.webuycars.co.za/photobooth/6A4512671/Ext360/6A451267136000.webp
Chery,Tiggo 4 Pro,2023,9500,290900,Vehicle is better than average,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/767800236/Ext360/76780023636000.webp
Suzuki,Grand Vitara,2024,4871,354900,Vehicle is better than average,George (WC),https://photos.webuycars.co.za/photobooth/93C303799/Ext360/93C30379936000.webp
Suzuki,Celerio,2022,38167,141900,Vehicle is better than average,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/A1A506025/Ext360/A1A50602536000.webp
Mahindra,KUV 100 NXT,2017,94000,90900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/AA9F02195/Ext360/AA9F0219536000.webp
Renault,Kwid,2019,105000,82900,Shows signs of excessive wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/B7D908415/Ext360/B7D90841536000.webp
Mercedes-Benz,S Class,2022,4893,1782900,Vehicle in excellent condition,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/BCA103741/Ext360/BCA10374136000.webp
Renault,Duster,2014,104061,97900,Normal wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/BD0311154/Ext360/BD031115436000.webp
KIA,Sportage,2024,4500,552900,Vehicle is better than average,JHB South (GP),https://photos.webuycars.co.za/photobooth/C0F104252/Ext360/C0F10425236000.webp
Suzuki,Ignis,2018,37500,157900,Normal wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/C1B608439/Ext360/C1B60843936000.webp
Renault,Duster,2023,9128,300900,Vehicle is better than average,Germiston (GP),https://photos.webuycars.co.za/photobooth/C28407873/Ext360/C2840787336000.webp
Renault,Kiger,2022,9200,229900,Shows signs of excessive wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/C44615710/Ext360/C4461571036000.webp
Opel,Adam,2015,104237,81900,Shows signs of excessive wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/C76011735/Ext360/C7601173536000.webp
Suzuki,Baleno,2024,8754,236900,Normal wear and tear,Epping (WC),https://photos.webuycars.co.za/photobooth/CAD806407/Ext360/CAD80640736000.webp
Nissan,Micra,2018,36000,117900,Normal wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/D21504396/Ext360/D2150439636000.webp
Renault,Kiger,2024,9000,196900,Shows signs of excessive wear and tear,Springfield (KZN),https://photos.webuycars.co.za/photobooth/D31811994/Ext360/D3181199436000.webp
Haval,H1,2020,43000,163900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/BBDF15729/Ext360/BBDF1572936000.webp
Hyundai,Atos,2022,44000,159900,Vehicle is better than average,Pietermaritzburg (KZN),https://photos.webuycars.co.za/photobooth/A94312236/Ext360/A9431223636000.webp
Suzuki,Ignis,2020,41471,181900,Vehicle is better than average,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/C9B309212/Ext360/C9B30921236000.webp
Mini,Hatch,2014,111000,79900,Shows signs of excessive wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/CB3D07880/Ext360/CB3D0788036000.webp
Volkswagen,Polo,2022,5000,353900,Vehicle is better than average,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/DF8005554/Ext360/DF800555436000.webp
Audi,Q5,2024,4935,1016900,Vehicle is better than average,Midstream (GP),https://photos.webuycars.co.za/photobooth/E08904488/Ext360/E0890448836000.webp
KIA,Picanto,2011,109742,91900,Normal wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/FA1112536/Ext360/FA111253636000.webp
Renault,Kwid,2021,45500,128900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/11A801531/Ext360/11A80153136000.webp
Toyota,Starlet,2022,12000,257900,Vehicle is better than average,Richmond (WC),https://photos.webuycars.co.za/photobooth/18E112541/Ext360/18E11254136000.webp
Tata,Indica,2017,112000,56900,Normal wear and tear,Epping (WC),https://photos.webuycars.co.za/photobooth/19D606156/Ext360/19D60615636000.webp
Ford,Ecosport,2023,11000,278900,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/20E700284/Ext360/20E70028436000.webp
Volkswagen,Polo,2024,6079,345900,Vehicle is better than average,Dome (GP),https://photos.webuycars.co.za/photobooth/2C2109580/Ext360/2C210958036000.webp
Nissan,Livina,2013,119000,97900,Normal wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/2EEC07199/Ext360/2EEC0719936000.webp
Chevrolet,Spark,2016,113268,82900,Shows signs of excessive wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/3CD203807/Ext360/3CD20380736000.webp
Toyota,Fortuner,2024,5488,728900,Vehicle in excellent condition,Springfield (KZN),https://photos.webuycars.co.za/photobooth/C26315582/Ext360/C2631558236000.webp
Chery,Tiggo 4 Pro,2024,11000,294900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/CC7E01593/Ext360/CC7E0159336000.webp
Opel,Adam,2019,47252,171900,Normal wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/CEA102438/Ext360/CEA10243836000.webp
Alfa Romeo,Giulietta,2013,117000,78900,Shows signs of excessive wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/D89512573/Ext360/D8951257336000.webp
Suzuki,Swift,2022,11000,219900,Vehicle is better than average,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/DD0D06783/Ext360/DD0D0678336000.webp
KIA,Picanto,2022,10800,240900,Normal wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/EEC314409/Ext360/EEC31440936000.webp
Peugeot,308,2012,120000,71900,Shows signs of excessive wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/F20003246/Ext360/F2000324636000.webp
Honda,Brio,2015,115000,85900,Normal wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/F2B202102/Ext360/F2B20210236000.webp
Mahindra,KUV 100 NXT,2022,47359,140900,Normal wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/07DF09679/Ext360/07DF0967936000.webp
Toyota,Fortuner,2024,6500,605900,Vehicle is better than average,Dome (GP),https://photos.webuycars.co.za/photobooth/0E8711305/Ext360/0E871130536000.webp
Hyundai,Venue,2023,12712,241900,Normal wear and tear,Springfield (KZN),https://photos.webuycars.co.za/photobooth/113E04294/Ext360/113E0429436000.webp
Volkswagen,Polo Vivo,2024,12351,243900,Normal wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/226311233/Ext360/22631123336000.webp
Suzuki,Swift,2022,12520,187900,Vehicle is better than average,Germiston (GP),https://photos.webuycars.co.za/photobooth/261D11216/Ext360/261D1121636000.webp
Hyundai,i20,2013,122000,90900,Shows signs of excessive wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/27F401508/Ext360/27F40150836000.webp
KIA,Picanto,2023,12988,240900,Normal wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/355C01026/Ext360/355C0102636000.webp
Mahindra,KUV 100 NXT,2019,123000,88900,Shows signs of excessive wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/36CF05710/Ext360/36CF0571036000.webp
Suzuki,Fronx,2024,6500,331900,Normal wear and tear,Mbombela (MP),https://photos.webuycars.co.za/photobooth/4CCF12312/Ext360/4CCF1231236000.webp
KIA,Picanto,2021,48000,137900,Normal wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/51AD06856/Ext360/51AD0685636000.webp
